ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
seymour1,4,131.85,130.80,129.51,131.20,131.69,131.36,2299,2299,2299,2299,2299,2299,0.00,0.00,4563,4563,4563,4563,4563,4563,890,890,890,890,890,890,29839,29839,29839,29839,29839,29839
seymour1,5,179.94,178.33,180.95,180.46,178.23,180.39,3294,3294,3294,3294,3294,3294,0.00,0.00,4563,4563,4563,4563,4563,4563,890,890,890,890,890,890,29839,29839,29839,29839,29839,29839
sing326,1,7200.05,7200.11,7200.15,7200.08,7201.52,7201.17,5163,6749,5486,5427,4714,4515,0.27,9.20,43359,43364,43359,43359,43359,43364,47734,47739,47734,47734,47734,47739,264123,264116,264123,264123,264123,264116
sing326,2,7200.14,7200.06,7200.28,7200.13,7200.05,7200.30,4262,2984,3275,4296,3298,4243,0.33,3.75,43359,43364,43359,43359,43359,43364,47734,47739,47734,47734,47734,47739,264123,264116,264123,264123,264123,264116
sing326,3,7200.10,7200.06,7200.12,7200.15,7200.09,7200.33,6414,5057,5107,6472,5396,4824,0.27,7.40,43359,43364,43359,43359,43359,43364,47734,47739,47734,47734,47734,47739,264123,264116,264123,264123,264123,264116
sing326,4,7200.01,7200.06,7200.08,7200.07,7200.10,7200.09,7069,5956,5469,6896,4305,5800,0.53,5.58,43359,43364,43359,43359,43359,43364,47734,47739,47734,47734,47734,47739,264123,264116,264123,264123,264123,264116
sing326,5,7200.14,7200.45,7200.15,7200.02,7200.08,7200.50,5883,6220,5610,6343,6256,5813,0.57,5.26,43359,43364,43359,43359,43359,43364,47734,47739,47734,47734,47734,47739,264123,264116,264123,264123,264123,264116
sing44,1,7200.07,7200.17,7200.19,7200.12,7200.90,7200.04,3119,3722,3859,3724,3514,3942,0.26,3.68,47074,47086,47074,47074,47074,47086,52037,52049,52037,52037,52037,52049,277293,277259,277293,277293,277293,277259
sing44,2,7201.46,7200.11,7200.58,7200.06,7200.07,7200.70,4630,3433,3647,4634,4105,2901,0.30,3.75,47074,47086,47074,47074,47074,47086,52037,52049,52037,52037,52037,52049,277293,277259,277293,277293,277293,277259
sing44,3,7200.06,7200.07,7200.08,7200.03,7200.04,7200.18,2768,4026,3530,2723,3231,2511,0.40,3.67,47074,47086,47074,47074,47074,47086,52037,52049,52037,52037,52037,52049,277293,277259,277293,277293,277293,277259
sing44,4,7200.06,7200.11,7200.12,7200.13,7200.08,7200.22,4628,2749,3603,4612,3635,2386,0.25,3.78,47074,47086,47074,47074,47074,47086,52037,52049,52037,52037,52037,52049,277293,277259,277293,277293,277293,277259
sing44,5,7200.11,7200.37,7200.09,7200.04,7200.04,7200.03,3206,4797,2791,3592,3613,2852,0.27,5.31,47074,47086,47074,47074,47074,47086,52037,52049,52037,52037,52037,52049,277293,277259,277293,277293,277293,277259
snp-02-004-104,1,1140.88,1072.40,1101.08,1095.25,1098.63,1133.24,6708,6708,6708,6708,6708,6708,0.04,0.10,55833,55833,55833,55833,55833,55833,152132,152132,152132,152132,152132,152132,312483,312483,312483,312483,312483,312483
snp-02-004-104,2,7200.06,7200.47,7200.02,7200.16,7200.05,7200.03,75310,81158,79511,75065,77793,78844,0.05,0.24,55833,55833,55833,55833,55833,55833,152132,152132,152132,152132,152132,152132,312483,312483,312483,312483,312483,312483
snp-02-004-104,3,1203.61,1140.04,1167.35,1151.38,1183.77,1156.49,5677,5677,5677,5677,5677,5677,0.04,0.10,55833,55833,55833,55833,55833,55833,152132,152132,152132,152132,152132,152132,312483,312483,312483,312483,312483,312483
snp-02-004-104,4,974.87,921.00,943.15,962.18,966.10,958.64,4919,4919,4919,4919,4919,4919,0.04,0.10,55833,55833,55833,55833,55833,55833,152132,152132,152132,152132,152132,152132,312483,312483,312483,312483,312483,312483
snp-02-004-104,5,1748.57,1671.56,1731.63,1692.30,1756.26,1739.66,10959,10959,10959,10959,10959,10959,0.04,0.10,55833,55833,55833,55833,55833,55833,152132,152132,152132,152132,152132,152132,312483,312483,312483,312483,312483,312483
sorrell3,1,7200.03,7200.03,7200.03,7200.04,7200.13,7200.15,14893,15697,14691,14795,14489,14489,1.72,1.20,169162,169162,169162,169162,169162,169162,1024,1024,1024,1024,1024,1024,338324,338324,338324,338324,338324,338324
sorrell3,2,7200.14,7200.05,7200.03,7200.06,7200.03,7200.03,15272,15270,15153,15270,15086,15262,1.44,0.53,169162,169162,169162,169162,169162,169162,1024,1024,1024,1024,1024,1024,338324,338324,338324,338324,338324,338324
sorrell3,3,7200.08,7200.07,7200.13,7200.03,7200.03,7200.04,15195,15024,14394,14905,14351,14999,1.11,0.51,169162,169162,169162,169162,169162,169162,1024,1024,1024,1024,1024,1024,338324,338324,338324,338324,338324,338324
sorrell3,4,7200.03,7200.11,7200.06,7200.29,7200.03,7200.11,11367,11572,11572,11572,11498,11564,1.44,0.85,169162,169162,169162,169162,169162,169162,1024,1024,1024,1024,1024,1024,338324,338324,338324,338324,338324,338324
sorrell3,5,7200.03,7200.09,7200.10,7200.06,7200.12,7200.06,12791,14280,13377,14218,12235,12970,1.41,0.83,169162,169162,169162,169162,169162,169162,1024,1024,1024,1024,1024,1024,338324,338324,338324,338324,338324,338324
sp150x300d,1,0.11,0.11,0.11,0.11,0.11,0.11,1,1,1,1,1,1,0.00,0.00,329,329,329,329,329,329,476,476,476,476,476,476,969,969,969,969,969,969
sp150x300d,2,0.11,0.13,0.12,0.12,0.12,0.12,1,1,1,1,1,1,0.00,0.00,329,329,329,329,329,329,476,476,476,476,476,476,969,969,969,969,969,969
sp150x300d,3,0.09,0.09,0.09,0.09,0.09,0.09,1,1,1,1,1,1,0.00,0.00,329,329,329,329,329,329,476,476,476,476,476,476,969,969,969,969,969,969
sp150x300d,4,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,1,1,0.00,0.00,329,329,329,329,329,329,476,476,476,476,476,476,969,969,969,969,969,969
sp150x300d,5,0.10,0.10,0.11,0.10,0.10,0.10,1,1,1,1,1,1,0.00,0.00,329,329,329,329,329,329,476,476,476,476,476,476,969,969,969,969,969,969
sp97ar,1,7200.01,7200.06,7200.05,7200.08,7200.04,7200.03,67063,71598,77999,76293,78268,76841,1.88,36.92,1690,1690,1690,1690,1690,1690,14098,14098,14097,14097,14097,14097,281300,281300,281291,281291,281291,281291
sp97ar,2,7200.09,7200.08,7200.07,7200.06,7200.06,7200.06,68002,70449,81557,66496,70400,77528,1.29,11.30,1690,1690,1690,1690,1690,1690,14098,14098,14097,14097,14097,14097,281300,281300,281291,281291,281291,281291
sp97ar,3,7200.04,7200.38,7200.09,7200.09,7200.05,7200.09,71256,73867,67866,69473,69026,70348,1.23,14.33,1690,1690,1690,1690,1690,1690,14098,14098,14097,14097,14097,14097,281300,281300,281291,281291,281291,281291
sp97ar,4,7200.04,7200.07,7200.11,7200.03,7200.07,7200.16,83777,85909,65652,67608,64925,65895,0.58,14.03,1690,1690,1690,1690,1690,1690,14098,14098,14097,14097,14097,14097,281300,281300,281291,281291,281291,281291
sp97ar,5,7200.13,7200.06,7200.03,7200.03,7200.11,7200.02,75377,84625,75350,78322,73060,71639,1.39,7.28,1690,1690,1690,1690,1690,1690,14098,14098,14097,14097,14097,14097,281300,281300,281291,281291,281291,281291
